업체명,이메일,웹사이트,발송상태,발송시각,오류내용,소스파일
농업회사법인장흥식품,djchun0425@hanmail.net,http://www.jangheungfood.co.kr/,성공,2026-03-19 11:43:30,,scripts/output/발송_대상_업체.csv
농업회사법인꼬숨식품(주),kkosum@kkosum.com,https://www.kkosum.com/,성공,2026-03-19 11:43:33,,scripts/output/발송_대상_업체.csv
(주)코리아푸드,korea0668@naver.com,https://koreafood.kr/,성공,2026-03-19 11:43:35,,scripts/output/발송_대상_업체.csv
MoiFood,moifoodinc@naver.com,http://moifooden.com/,성공,2026-03-19 11:43:38,,scripts/output/발송_대상_업체.csv
(주)아하식품,ahamandoo@naver.com,http://www.ahafood.co.kr/,성공,2026-03-19 11:43:41,,scripts/output/발송_대상_업체.csv
아리김,juhee9851@gmail.com,http://www.arifood.co.kr/,성공,2026-03-19 11:43:43,,scripts/output/발송_대상_업체.csv
농업회사법인(유)아리랑식품,arirang0173@hanmail.net,https://www.arirangfood.co.kr/,성공,2026-03-19 11:43:46,,scripts/output/발송_대상_업체.csv
농업회사법인(유)아리랑식품,sje4400@naver.com,https://www.arirangfood.co.kr/,성공,2026-03-19 11:43:48,,scripts/output/발송_대상_업체.csv
비비푸드,sjh1511@bbfood.co,http://www.bbfood.co.kr/,성공,2026-03-19 11:43:50,,scripts/output/발송_대상_업체.csv
비비푸드,sjh1511@bbfood.co.kr,http://www.bbfood.co.kr/,성공,2026-03-19 11:43:53,,scripts/output/발송_대상_업체.csv
비비푸드,syh1511@nate.com,http://www.bbfood.co.kr/,성공,2026-03-19 11:43:55,,scripts/output/발송_대상_업체.csv
주식회사 베베푸드코리아,baby1@bebefood.co.kr,http://www.bebefood.co.kr/,성공,2026-03-19 11:43:57,,scripts/output/발송_대상_업체.csv
(주)벨리푸드,belliefood@bellie.co.kr,https://www.belliefood.co.kr/,성공,2026-03-19 11:44:00,,scripts/output/발송_대상_업체.csv
강릉부일한과,lkbwhite@naver.com,https://www.booilfood.co.kr/,성공,2026-03-19 11:44:02,,scripts/output/발송_대상_업체.csv
부부식품,rkawk110@naver.com,https://www.bubufood.com/,성공,2026-03-19 11:44:05,,scripts/output/발송_대상_업체.csv
농업회사법인(주)창창푸드,kind_mrpark@naver.com,https://www.changchang.co.kr/,성공,2026-03-19 11:44:07,,scripts/output/발송_대상_업체.csv
(주)청산에식품,chungsanea-wook@naver.com,https://chungsanea.com/,성공,2026-03-19 11:44:09,,scripts/output/발송_대상_업체.csv
(주)청산에식품,chungsanea@hanmail.net,https://chungsanea.com/,성공,2026-03-19 11:44:12,,scripts/output/발송_대상_업체.csv
(주)대영푸드시스템,foodmaster@dfood.co.kr,http://www.dfood.co.kr/,성공,2026-03-19 11:44:14,,scripts/output/발송_대상_업체.csv
(주) 대디푸드,admin@daddyfood.co.kr,https://daddyfoodshop.co.kr/,성공,2026-03-19 11:44:17,,scripts/output/발송_대상_업체.csv
대도식품,yestodoy18@naver.com,https://www.daedofood.com/,성공,2026-03-19 11:44:19,,scripts/output/발송_대상_업체.csv
(주)대호식품,contact@daehofood.co,https://daehofood.co.kr/,성공,2026-03-19 11:44:21,,scripts/output/발송_대상_업체.csv
(주)대호식품,contact@daehofood.co.kr,https://daehofood.co.kr/,성공,2026-03-19 11:44:24,,scripts/output/발송_대상_업체.csv
(주)대호식품,daeho2030@naver.com,https://daehofood.co.kr/,성공,2026-03-19 11:44:26,,scripts/output/발송_대상_업체.csv
(주)대호식품,yspark@daehofood.co.kr,https://daehofood.co.kr/,성공,2026-03-19 11:44:29,,scripts/output/발송_대상_업체.csv
대륙식품,bsh@picosoft.kr,http://www.daeryukfood.com/,성공,2026-03-19 11:44:31,,scripts/output/발송_대상_업체.csv
대륙식품,drfoc21@hanmail.net,http://www.daeryukfood.com/,성공,2026-03-19 11:44:33,,scripts/output/발송_대상_업체.csv
(유)다해식품,dahaefood@naver.com,http://www.dahaefood.com/,성공,2026-03-19 11:44:36,,scripts/output/발송_대상_업체.csv
(주)단미푸드,danmeefood@naver.com,https://danmeefood.com/,성공,2026-03-19 11:44:38,,scripts/output/발송_대상_업체.csv
주식회사 동해식품,dhfood@donghaefood.co.kr,https://donghaefood.co.kr/,성공,2026-03-19 11:44:41,,scripts/output/발송_대상_업체.csv
동화푸드,ljy6622@naver.com,http://www.donghwafood.co.kr/,성공,2026-03-19 11:44:43,,scripts/output/발송_대상_업체.csv
(주)두손푸드,dsfd1588@doosonfood.co.kr,https://www.doosonfood.co.kr/,성공,2026-03-19 11:44:45,,scripts/output/발송_대상_업체.csv
엠케이씨푸드,mk@seafood.co.kr,https://www.seafood.co.kr/,성공,2026-03-19 11:44:48,,scripts/output/발송_대상_업체.csv
(주)금방에프엔비,sinukayu@hanmail.net,https://www.foodone.co.kr/,성공,2026-03-19 11:44:50,,scripts/output/발송_대상_업체.csv
(주)푸드코아,foodoffice@foodcore.kr,https://www.foodcore.co.kr/,성공,2026-03-19 11:44:53,,scripts/output/발송_대상_업체.csv
(주)푸드코아,help@goodymall.co.kr,https://www.foodcore.co.kr/,성공,2026-03-19 11:44:55,,scripts/output/발송_대상_업체.csv
(주)푸드코아,joyoffice@joy-food.kr,https://www.foodcore.co.kr/,성공,2026-03-19 11:44:57,,scripts/output/발송_대상_업체.csv
(주)푸드코아,t_edps@foodcore.kr,https://www.foodcore.co.kr/,성공,2026-03-19 11:45:00,,scripts/output/발송_대상_업체.csv
농업회사법인 주식회사 푸드파파 에프앤비,365foodfafa@naver.com,https://www.foodfafa.com/,성공,2026-03-19 11:45:02,,scripts/output/발송_대상_업체.csv
푸드믹스,foodmix_korea@naver.com,https://www.foodmix.co.kr/,성공,2026-03-19 11:45:05,,scripts/output/발송_대상_업체.csv
(주)푸드엠코리아,foodmkorea@naver.com,http://www.foodmkorea.com/,성공,2026-03-19 11:45:07,,scripts/output/발송_대상_업체.csv
푸드나무,hello@foodnamoo.com,http://foodnamoo.com/,성공,2026-03-19 11:45:09,,scripts/output/발송_대상_업체.csv
푸드로,foodro8118@hanmail.net,https://foodro.net/,성공,2026-03-19 11:45:12,,scripts/output/발송_대상_업체.csv
(주)푸드웨어,damdoo@foodware.co.kr,https://www.foodware.co.kr/,성공,2026-03-19 11:45:14,,scripts/output/발송_대상_업체.csv
(주)푸드웨어,global@foodware.co.kr,https://www.foodware.co.kr/,성공,2026-03-19 11:45:17,,scripts/output/발송_대상_업체.csv
(주)푸드웨어,tomato@heymeal.co.kr,https://www.foodware.co.kr/,성공,2026-03-19 11:45:19,,scripts/output/발송_대상_업체.csv
농업회사법인 주식회사 가고파힐링푸드,kangwon-han@hanmail.net,https://www.gagopahealingfood.co.kr/,성공,2026-03-19 11:45:21,,scripts/output/발송_대상_업체.csv
김부자푸드 주식회사,taesick2001@naver.com,https://gimbujafood.com/,성공,2026-03-19 11:45:24,,scripts/output/발송_대상_업체.csv
대영식품,kyktrade@daeyoungfoods.co.kr,https://www.daeyoungfoods.co.kr/,성공,2026-03-19 11:45:26,,scripts/output/발송_대상_업체.csv
글로벌 냉동식품,joyo00@nate.com,http://globalfoodkorea.com/,성공,2026-03-19 11:45:29,,scripts/output/발송_대상_업체.csv
갓바위식품(주),godbaweekim@naver.com,https://www.godbawee.com/,성공,2026-03-19 11:47:09,,scripts/output/발송_대상_업체.csv
고군산푸드,apsinje@naver.com,http://www.gogunsanfood.com/,성공,2026-03-19 11:47:12,,scripts/output/발송_대상_업체.csv
고향반찬,gohyangfood@naver.com,http://www.gohyangfood.com/mobile/,성공,2026-03-19 11:47:14,,scripts/output/발송_대상_업체.csv
공식품 영농조합법인,5c5@daum.net,https://www.gongfoodkorea.com/,성공,2026-03-19 11:47:17,,scripts/output/발송_대상_업체.csv
고시산푸드,anjun5855@hanmail.net,http://www.gosisanfood.com/,성공,2026-03-19 11:47:20,,scripts/output/발송_대상_업체.csv
관주식품,opkl0211@naver.com,http://www.gwanjufood.co.kr/,성공,2026-03-19 11:47:22,,scripts/output/발송_대상_업체.csv
(주)교동씨엠,mail@gyodong.co.kr,https://www.gyodong.co.kr/,성공,2026-03-19 11:47:24,,scripts/output/발송_대상_업체.csv
